Code,Description,Active
"2833",Medicinals And Botanicals,true
"2834",Pharmaceutical Preparations,true
"2835",Diagnostic Substances,true
"2836",Biological Products Except Diagnostic,true
"2840",Legacy Docket Conv,false
"2841",Soap And Other Detergents,true
"2842",Polishes And Sanitation Goods,true
"2843",Surface Active Agents,true
"2844",Toilet Preparations,true
"2850",Legacy Docket Conv,false
"2851",Paints And Allied Products,true
"2860",Legacy Docket Conv,false
"2861",Gum And Wood Chemicals,true
"2865",Cyclic Crudes And Intermediates,true
"2869",Industrial Organic Chemicals,true
"2870",Legacy Docket Conv,false
"2873",Nitrogenous Fertilizers,true
"2874",Phosphatic Fertilizers,true
"2875","Fertilizers, Mixing Only",true
"2879",Agricultural Chemicals,true
"2890",Legacy Docket Conv,false
"2891",Adhesives And Sealants,true
"2892",Explosives,true
"2893",Printing Ink,true
"2895",Carbon Black,true
"2899",Chemical Preparations,true
"2910",Legacy Docket Conv,false
"2911",Petroleum Refining,true
"2951",Asphalt Paving Mixtures And Blocks,true
"2952",Asphalt Felts And Coatings,true
"2992",Lubricating Oils And Greases,true
"2999",Petroleum And Coal Products,true
"3010",Legacy Docket Conv,false
"3011",Tires And Inner Tubes,true
"3021",Rubber And Plastics Footwear,true
"3041",Legacy Docket Conv,false
"3052",Rubber & Plastics Hose & Belting,true
"3053","Gaskets, Packing And Sealing Devices",true
"3060",Legacy Docket Conv,false
"3061",Mechanical Rubber Goods,true
"3069",Fabricated Rubber Products,true
"3079",Legacy Docket Conv,false
"3081",Unsupported Plastics Film & Sheet,true
"3082",Unsupported Plastics Profile Shapes,true
"3083",Laminated Plastics Plate & Sheet,true
"3084",Plastics Pipe,true
"3085",Plastics Bottles,true
"3086",Plastics Foam Products,true
"3087",Custom Compound Purchased Resins,true
"3088",Plastics Plumbing Fixtures,true
"3089",Plastics Products,true
"3111",Leather Tanning And Finishing,true
"3131",Footwear Cut Stock,true
"3142",House Slippers,true
"3143","Men's Footwear, Except Athletic",true
"3144","Women's Footwear, Except Athletic",true
"3149","Footwear, Except Rubber",true
"3151",Leather Gloves And Mittens,true
"3161",Luggage,true
"3171",Women's Handbags And Purses,true
"3172",Personal Leather Goods,true
"3199",Leather Goods,true
"3211",Flat Glass,true
"3221",Glass Containers,true
"3229",Pressed And Blown Glass,true
"3231",Products Of Purchased Glass,true
"3241","Cement, Hydraulic",true
"3251",Brick And Structural Clay Tile,true
"3253",Ceramic Wall And Floor Tile,true
"3255",Clay Refractories,true
"3259",Structural Clay Products,true
"3261",Vitreous Plumbing Fixtures,true
"3262",Vitreous China Table & Kitchenware,true
"3263",Semivitreous Table & Kitchenware,true
"3264",Porcelain Electrical Supplies,true
"3269",Pottery Products,true
"3271",Concrete Block And Brick,true
"3272",Concrete Products,true
"3273",Ready-Mixed Concrete,true
"3274",Lime,true
"3275",Gypsum Products,true
"3281",Cut Stone And Stone Products,true
"3291",Abrasive Products,true
"3292",Asbestos Products,true
"3293",Legacy Docket Conv,false
"3295","Minerals, Ground Or Treated",true
"3296",Mineral Wool,true
"3297",Nonclay Refractories,true
"3299",Nonmetallic Mineral Products,true
"3310",Legacy Docket Conv,false
"3312",Blast Furnaces And Steel Mills,true
"3313",Electrometallurgical Products,true
"3315",Steel Wire And Related Products,true
"3316",Cold Finishing Of Steel Shapes,true
"3317",Steel Pipe And Tubes,true
"3320",Legacy Docket Conv,false
"3321",Gray And Ductile Iron Foundries,true
"3322",Malleable Iron Foundries,true
"3324",Steel Investment Foundries,true
"3325",Steel Foundries,true
"3331",Primary Copper,true
"3332",Legacy Docket Conv,false
"3333",Legacy Docket Conv,false
"3334",Primary Aluminum,true
"3339",Primary Nonferrous Metals,true
"3341",Secondary Nonferrous Metals,true
"3351",Copper Rolling And Drawing,true
"3353","Aluminum Sheet, Plate, And Foil",true
"3354",Aluminum Extruded Products,true
"3355",Aluminum Rolling And Drawing,true
"3356",Nonferrous Rolling And Drawing,true
"3357",Nonferrous Wiredrawing & Insulating,true
"3361",Legacy Docket Conv,false
"3362",Legacy Docket Conv,false
"3363",Aluminum Die-Castings,true
"3364",Nonferrous Die-Casting Except Aluminum,true
"3365",Aluminum Foundries,true
